Unsubtracted Weight, Sample Temperature
0,0.0003645403248675364,
0.1,0.00036641558837194,
0.2,0.00036829797724294663,
0.30000000000000004,0.00037018750224634327,
0.4,0.00037208417405625217,
0.5,0.0003739880032543669,
0.6000000000000001,0.00037589900032918895,
0.7000000000000001,0.00037781717567526336,
0.8,0.0003797425395924112,
0.9,0.0003816751022849653,
1,0.0003836148738610033,
1.1,0.00038556186433157976,
1.2000000000000002,0.00038751608360995866,
1.3,0.00038947754151084403,
1.4000000000000001,0.00039144624774961254,
1.5,0.0003934222119415423,
1.6,0.0003954054436010447,
1.7000000000000002,0.0003973959521408925,
1.8,0.0003993937468714495,
1.9000000000000001,0.0004013988369999004,
2,0.0004034112316294775,
2.1,0.0004054309397586908,
2.2,0.0004074579702805552,
2.3000000000000003,0.00040949233198181716,
2.4000000000000004,0.0004115340335421845,
2.5,0.0004135830835335507,
2.6,0.0004156394904192251,
2.7,0.00041770326255315815,
2.8000000000000003,0.0004197744081791681,
2.9000000000000004,0.00042185293543016964,
3,0.00042393885232739736,
3.1,0.0004260321667796373,
3.2,0.0004281328865824503,
3.3000000000000003,0.0004302410194173986,
3.4000000000000004,0.00043235657285127657,
3.5,0.00043447955433533315,
3.6,0.0004366099712045028,
3.7,0.00043874783067663226,
3.8000000000000003,0.0004408931398517059,
3.9000000000000004,0.00044304590571107687,
4,0.00044520613511669373,
4.1000000000000005,0.00044737383481032936,
4.2,0.0004495490114128102,
4.3,0.00045173167142324516,
4.4,0.0004539218212182558,
4.5,0.0004561194670512061,
4.6000000000000005,0.00045832461505143423,
4.7,0.00046053727122348287,
4.800000000000001,0.00046275744144633115,
4.9,0.00046498513147262766,
5,0.00046722034692792244,
5.1000000000000005,0.00046946309330990254,
5.2,0.0004717133759876252,
5.300000000000001,0.0004739712002007518,
5.4,0.0004762365710587872,
5.5,0.0004785094935403129,
5.6000000000000005,0.00048078997249222723,
5.7,0.00048307801262898283,
5.800000000000001,0.000485373618531825,
5.9,0.0004876767946480349,
6,0.0004899875452901666,
6.1000000000000005,0.0004923058746352943,
6.2,0.0004946317867242524,
6.300000000000001,0.0004969652854608796,
6.4,0.0004993063746112685,
6.5,0.0005016550578030067,
6.6000000000000005,0.0005040113385244297,
6.7,0.000506375220123868,
6.800000000000001,0.0005087467058088969,
6.9,0.0005111257986455903,
7,0.0005135125015577713,
7.1000000000000005,0.0005159068173262695,
7.2,0.0005183087485881753,
7.300000000000001,0.000520718297836097,
7.4,0.0005231354674174212,
7.5,0.0005255602595335716,
